City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
236,Ponta Do Sol,PT,2022-03-19 03:33:12,32.6667,-17.1,59.72,71,100,2.19
237,Fort Nelson,CA,2022-03-19 03:32:46,58.8053,-122.7002,31.59,55,40,2.3
238,Surgut,RU,2022-03-19 03:33:14,61.25,73.4167,23.18,73,0,8.99
239,Cayenne,GF,2022-03-19 03:30:05,4.9333,-52.3333,80.1,1,75,6.91
240,Lasa,IT,2022-03-19 03:33:15,46.6166,10.7002,40.08,96,99,1.88
241,Nyurba,RU,2022-03-19 03:33:16,63.2842,118.3319,11.48,86,99,9.73
242,Pochutla,MX,2022-03-19 03:33:17,15.7432,-96.4661,76.82,66,3,3.2
243,Tandalti,SD,2022-03-19 03:33:18,13.0167,31.8667,72.43,13,37,10.33
244,Rawson,AR,2022-03-19 03:33:19,-43.3002,-65.1023,52.88,49,0,7.85
245,Port Hedland,AU,2022-03-19 03:33:19,-20.3167,118.5667,100.45,27,0,5.75
246,Mackay,AU,2022-03-19 03:33:20,-21.15,149.2,86.68,69,40,16.11
247,Metro,ID,2022-03-19 03:33:21,-5.1131,105.3067,85.41,67,79,6.26
248,Mahon,ES,2022-03-19 03:33:22,39.8885,4.2658,55.96,88,100,16.11
249,College,US,2022-03-19 03:33:23,64.8569,-147.8028,24.58,53,40,5.75
250,Pierre,US,2022-03-19 03:33:23,44.3683,-100.351,44.28,41,0,9.22
251,Eureka,US,2022-03-19 03:33:24,40.8021,-124.1637,50.2,86,100,4.23
252,Bilma,NE,2022-03-19 03:33:25,18.6853,12.9164,68.76,5,56,7.99
253,Portland,US,2022-03-19 03:29:48,45.5234,-122.6762,54.79,77,100,5.01
254,Matai,TZ,2022-03-19 03:33:26,-8.3,31.5167,57.7,86,100,2.26
255,Katobu,ID,2022-03-19 03:33:27,-4.9408,122.5276,87.66,62,100,4.72
256,Nassau,US,2022-03-19 03:33:28,40.7507,-73.5829,55.06,81,100,8.05
257,Maningrida,AU,2022-03-19 03:33:29,-12.0667,134.2667,90.3,54,100,4.94
258,Horn,DE,2022-03-19 03:33:30,51.8715,8.9451,40.98,88,1,9.15
259,Zhangye,CN,2022-03-19 03:33:30,38.9342,100.4517,50.4,35,95,10.74
260,Virginia Beach,US,2022-03-19 03:33:06,36.8529,-75.978,66.02,69,89,12.39
261,Zhangjiakou,CN,2022-03-19 03:33:32,40.81,114.8794,24.35,60,100,2.62
262,Dudinka,RU,2022-03-19 03:33:33,69.4058,86.1778,20.62,87,100,17.07
263,Aguimes,ES,2022-03-19 03:33:34,27.9054,-15.4461,61.43,68,75,10.36
264,Pevek,RU,2022-03-19 03:33:34,69.7008,170.3133,-7.64,84,18,7.94
265,Norfolk,US,2022-03-19 03:33:35,42.1668,-71.2495,59.63,76,0,5.75
266,Cherskiy,RU,2022-03-19 03:33:36,68.75,161.3,9.45,78,5,7.43
267,Vozhega,RU,2022-03-19 03:33:37,60.4725,40.2213,22.93,98,79,5.06
268,Casambalangan,PH,2022-03-19 03:33:38,18.3765,122.1274,80.83,80,68,6.15
269,Yulara,AU,2022-03-19 03:33:39,-25.2406,130.9889,96.64,19,21,5.75
270,Westport,US,2022-03-19 03:31:39,41.1415,-73.3579,56.86,94,100,5.01
271,Baykit,RU,2022-03-19 03:33:40,61.67,96.37,19.54,84,100,9.48
272,Kendari,ID,2022-03-19 03:33:41,-3.945,122.4989,86.59,64,100,6.78
273,Tanout,NE,2022-03-19 03:33:42,14.9709,8.8879,68.13,6,20,10.69
274,Fare,PF,2022-03-19 03:33:43,-16.7,-151.0167,82.36,69,7,14.32
275,San Patricio,US,2022-03-19 03:33:43,28.017,-97.5169,71.69,47,8,8.66
276,Muisne,EC,2022-03-19 03:33:44,0.6,-80.0333,78.15,86,84,3.22
277,Jiexiu,CN,2022-03-19 03:33:45,37.0244,111.9125,41.41,45,99,8.59
278,Sibu,MY,2022-03-19 03:33:46,2.3,111.8167,84.51,74,40,2.3
279,Nuevitas,CU,2022-03-19 03:33:47,21.5453,-77.2644,75.61,86,2,8.93
